"","date","year","month","day","maxTemp","minTemp","meanTemp","snoGrnd","precip","wind","site","prop"
"43",2016-07-27,2016,7,27,13,6.9,10,NA,0.4,"<31",1,0.404728789986092
"44",2016-07-28,2016,7,28,17.6,8.9,13.3,NA,0.2,"<31",1,0.162921348314607
"45",2016-07-29,2016,7,29,18.1,9.8,14,NA,0,"33",1,0.11373092926491
"46",2016-07-30,2016,7,30,17.6,8,12.8,NA,0,"32",1,0.108183079056865
"47",2016-07-31,2016,7,31,12.5,5.5,9,NA,0,"33",1,0.497214484679666
"48",2016-08-01,2016,8,1,10.2,8.3,9.3,NA,0,"43",1,0.427769985974755
"49",2016-08-02,2016,8,2,12.8,8.8,10.8,NA,3.4,"48",1,0.269070735090153
"50",2016-08-03,2016,8,3,13.8,10,11.9,NA,1.8,"41",1,0.324512534818941
"51",2016-08-04,2016,8,4,NA,11.5,NA,NA,NA,NA,1,0.264220183486239
"52",2016-08-05,2016,8,5,14.5,8.1,11.3,NA,0,"57",1,0.177740863787375
"53",2016-08-06,2016,8,6,11.7,5.8,8.8,NA,0.4,"54",1,0.503607503607504
"54",2016-08-07,2016,8,7,8.3,3.4,5.9,NA,0.4,"39",1,0.513888888888889
"55",2016-08-08,2016,8,8,9.4,3.9,6.7,NA,0,"35",1,0.349500713266762
"56",2016-08-09,2016,8,9,15,7.8,11.4,NA,0,"63",1,0.256446991404011
"57",2016-08-10,2016,8,10,18.4,9.2,13.8,NA,0,"56",1,0.101351351351351
"58",2016-08-11,2016,8,11,19.9,8.3,14.1,NA,0,"<31",1,0.0915492957746479
"59",2016-07-15,2016,7,15,18.6,7.4,13,NA,0.2,"74",3,0.984615384615385
"60",2016-07-16,2016,7,16,12.7,7,9.9,NA,0,"50",3,1
"61",2016-07-17,2016,7,17,16.1,7.8,12,NA,0.6,"59",3,0.997058823529412
"62",2016-07-18,2016,7,18,18.2,9.1,13.7,NA,5.4,"46",3,1
"63",2016-07-19,2016,7,19,17.4,9.1,13.3,NA,0.6,"<31",3,1
"64",2016-07-20,2016,7,20,17.3,7.9,12.6,NA,0,"<31",3,0.998217468805704
"65",2016-07-21,2016,7,21,15.2,6,10.6,NA,0,"41",3,0.996770721205597
"66",2016-07-22,2016,7,22,14.7,7.5,11.1,NA,8.6,"56",3,1
"67",2016-07-23,2016,7,23,13.9,7.7,10.8,NA,2.6,"43",3,0.99920445505171
"68",2016-07-24,2016,7,24,16.3,5.8,11.1,NA,0,"<31",3,0.974321349963316
"69",2016-07-25,2016,7,25,9.1,5.6,7.4,NA,0.4,"<31",3,1
"70",2016-07-26,2016,7,26,17.5,8.2,12.9,NA,0.6,"35",3,0.997732426303855
"71",2016-07-27,2016,7,27,13,6.9,10,NA,0.4,"<31",3,0.841739130434783
"72",2016-07-28,2016,7,28,17.6,8.9,13.3,NA,0.2,"<31",3,0.788461538461538
"73",2016-07-29,2016,7,29,18.1,9.8,14,NA,0,"33",3,0.450281425891182
"74",2016-07-30,2016,7,30,17.6,8,12.8,NA,0,"32",3,0.9625
"75",2016-07-31,2016,7,31,12.5,5.5,9,NA,0,"33",3,0.966292134831461
"76",2016-08-01,2016,8,1,10.2,8.3,9.3,NA,0,"43",3,0.6
"77",2016-08-04,2016,8,4,NA,11.5,NA,NA,NA,NA,3,0.869257950530035
"78",2016-08-05,2016,8,5,14.5,8.1,11.3,NA,0,"57",3,0.289340101522843
"79",2016-08-06,2016,8,6,11.7,5.8,8.8,NA,0.4,"54",3,0.0456852791878173
"80",2016-08-07,2016,8,7,8.3,3.4,5.9,NA,0.4,"39",3,0.219393939393939
"81",2016-08-08,2016,8,8,9.4,3.9,6.7,NA,0,"35",3,0.0398230088495575
"82",2016-08-09,2016,8,9,15,7.8,11.4,NA,0,"63",3,0.0601659751037344
"83",2016-08-10,2016,8,10,18.4,9.2,13.8,NA,0,"56",3,0.0265151515151515
"84",2016-08-11,2016,8,11,19.9,8.3,14.1,NA,0,"<31",3,0.0990312163616792
"85",2016-08-12,2016,8,12,17.3,9.4,13.4,NA,0,"32",3,0.0748201438848921
"86",2016-08-13,2016,8,13,13.4,8.6,11,NA,0,"<31",3,0.021978021978022
"87",2016-06-09,2016,6,9,10.9,-1.5,4.7,5,0,"<31",4,1
"88",2016-06-10,2016,6,10,11,0.8,5.9,4,0,"<31",4,1
"89",2016-06-12,2016,6,12,9.4,2.3,5.9,3,0,"33",4,1
"90",2016-06-13,2016,6,13,4.1,1,2.6,3,0,"41",4,1
"91",2016-06-14,2016,6,14,6.4,1.1,3.8,3,0,"48",4,0.995720399429387
"92",2016-06-17,2016,6,17,8.1,2.5,5.3,2,0,"85",4,1
"93",2016-06-19,2016,6,19,8.9,1.5,5.2,1,0.4,"67",4,0.955752212389381
"94",2016-06-20,2016,6,20,10.7,1.1,5.9,NA,0,"43",4,0.998420221169036
"95",2016-06-21,2016,6,21,11.1,4.4,7.8,NA,0,"<31",4,0.994358251057828
"96",2016-06-22,2016,6,22,12.5,6.9,9.7,NA,7,"<31",4,0.998171846435101
"97",2016-06-23,2016,6,23,15.5,6.6,11.1,NA,0,"37",4,1
"98",2016-06-24,2016,6,24,15.5,3.9,9.7,NA,0,"44",4,1
"99",2016-06-25,2016,6,25,12.5,3.8,8.2,NA,0,"39",4,0.9984375
"100",2016-06-26,2016,6,26,21.5,4.3,12.9,NA,0,"48",4,1
"101",2016-06-27,2016,6,27,14.2,4.3,9.3,NA,8.2,"33",4,1
"102",2016-06-28,2016,6,28,9.5,2.9,6.2,NA,0,"33",4,0.982532751091703
"103",2016-06-29,2016,6,29,23,3.1,13.1,NA,0,"35",4,1
"104",2016-06-30,2016,6,30,19.9,10,15,NA,1,"32",4,1
"105",2016-07-01,2016,7,1,21.9,9.2,15.6,NA,0,"33",4,1
"106",2016-07-02,2016,7,2,16.9,7.3,12.1,NA,0,"39",4,0.998603351955307
"107",2016-07-03,2016,7,3,14.9,6.1,10.5,NA,0,"30",4,1
"108",2016-07-04,2016,7,4,11.8,6,8.9,NA,4.6,"37",4,1
"109",2016-07-05,2016,7,5,8.6,5,6.8,NA,0,"37",4,1
"110",2016-07-06,2016,7,6,10.9,5,8,NA,0,"33",4,1
"111",2016-07-08,2016,7,8,24.1,9.5,16.8,NA,0,"<31",4,0.988857938718663
"112",2016-07-09,2016,7,9,24.3,12.5,18.4,NA,0,"<31",4,1
"113",2016-07-10,2016,7,10,20.7,12.4,16.6,NA,0,"33",4,1
"114",2016-07-11,2016,7,11,19.7,9.8,14.8,NA,0,"33",4,1
"115",2016-07-12,2016,7,12,18.8,7.7,13.3,NA,0,"30",4,1
"116",2016-07-13,2016,7,13,16.5,8,12.3,NA,0,"37",4,1
"117",2016-07-14,2016,7,14,19.9,9.7,14.8,NA,0.2,"32",4,0.991789819376026
"118",2016-07-15,2016,7,15,18.6,7.4,13,NA,0.2,"74",4,1
"119",2016-07-16,2016,7,16,12.7,7,9.9,NA,0,"50",4,0.992714025500911
"120",2016-07-17,2016,7,17,16.1,7.8,12,NA,0.6,"59",4,0.844221105527638
"121",2016-07-18,2016,7,18,18.2,9.1,13.7,NA,5.4,"46",4,0.962962962962963
"122",2016-07-19,2016,7,19,17.4,9.1,13.3,NA,0.6,"<31",4,0.998603351955307
"123",2016-07-20,2016,7,20,17.3,7.9,12.6,NA,0,"<31",4,0.989045383411581
"124",2016-07-21,2016,7,21,15.2,6,10.6,NA,0,"41",4,0.934256055363322
"125",2016-07-22,2016,7,22,14.7,7.5,11.1,NA,8.6,"56",4,0.998452012383901
"126",2016-07-23,2016,7,23,13.9,7.7,10.8,NA,2.6,"43",4,0.99412915851272
"127",2016-07-24,2016,7,24,16.3,5.8,11.1,NA,0,"<31",4,0.994405594405594
"128",2016-07-25,2016,7,25,9.1,5.6,7.4,NA,0.4,"<31",4,0.863883847549909
"129",2016-07-26,2016,7,26,17.5,8.2,12.9,NA,0.6,"35",4,0.966810966810967
"130",2016-07-27,2016,7,27,13,6.9,10,NA,0.4,"<31",4,0.986130374479889
"131",2016-07-28,2016,7,28,17.6,8.9,13.3,NA,0.2,"<31",4,0.989425981873112
"132",2016-07-29,2016,7,29,18.1,9.8,14,NA,0,"33",4,0.895251396648045
"133",2016-07-30,2016,7,30,17.6,8,12.8,NA,0,"32",4,0.731428571428571
"134",2016-07-31,2016,7,31,12.5,5.5,9,NA,0,"33",4,0.668571428571429
"135",2016-08-01,2016,8,1,10.2,8.3,9.3,NA,0,"43",4,0.471004243281471
"136",2016-08-02,2016,8,2,12.8,8.8,10.8,NA,3.4,"48",4,0.480113636363636
"137",2016-08-03,2016,8,3,13.8,10,11.9,NA,1.8,"41",4,0.233983286908078
"138",2016-08-04,2016,8,4,NA,11.5,NA,NA,NA,NA,4,0.496894409937888
"139",2016-08-05,2016,8,5,14.5,8.1,11.3,NA,0,"57",4,0.533234859675037
"140",2016-08-06,2016,8,6,11.7,5.8,8.8,NA,0.4,"54",4,0.219101123595506
"141",2016-08-07,2016,8,7,8.3,3.4,5.9,NA,0.4,"39",4,0.26867816091954
"142",2016-08-08,2016,8,8,9.4,3.9,6.7,NA,0,"35",4,0.0711297071129707
"143",2016-08-09,2016,8,9,15,7.8,11.4,NA,0,"63",4,0.0917941585535466
"144",2016-08-10,2016,8,10,18.4,9.2,13.8,NA,0,"56",4,0.14586255259467
"145",2016-08-11,2016,8,11,19.9,8.3,14.1,NA,0,"<31",4,0.0659186535764376
"146",2016-08-12,2016,8,12,17.3,9.4,13.4,NA,0,"32",4,0.0919220055710306
"147",2016-08-13,2016,8,13,13.4,8.6,11,NA,0,"<31",4,0.0545454545454545
"148",2016-08-14,2016,8,14,17,8,12.5,NA,0,"30",4,0.0148514851485149
"149",2016-06-11,2016,6,11,11.2,3.5,7.4,3,0,"39",8,1
"150",2016-06-23,2016,6,23,15.5,6.6,11.1,NA,0,"37",8,0.993576017130621
"151",2016-06-24,2016,6,24,15.5,3.9,9.7,NA,0,"44",8,1
"152",2016-06-25,2016,6,25,12.5,3.8,8.2,NA,0,"39",8,1
"153",2016-06-26,2016,6,26,21.5,4.3,12.9,NA,0,"48",8,1
"154",2016-06-27,2016,6,27,14.2,4.3,9.3,NA,8.2,"33",8,1
"155",2016-06-28,2016,6,28,9.5,2.9,6.2,NA,0,"33",8,1
"156",2016-07-04,2016,7,4,11.8,6,8.9,NA,4.6,"37",8,0.998305084745763
"157",2016-07-05,2016,7,5,8.6,5,6.8,NA,0,"37",8,1
"158",2016-07-06,2016,7,6,10.9,5,8,NA,0,"33",8,1
"159",2016-07-07,2016,7,7,18,4.8,11.4,NA,0,"<31",8,1
"160",2016-07-08,2016,7,8,24.1,9.5,16.8,NA,0,"<31",8,1
"161",2016-07-09,2016,7,9,24.3,12.5,18.4,NA,0,"<31",8,0.994452149791956
"162",2016-07-14,2016,7,14,19.9,9.7,14.8,NA,0.2,"32",8,0.963927855711423
"163",2016-07-15,2016,7,15,18.6,7.4,13,NA,0.2,"74",8,0.883495145631068
"164",2016-07-16,2016,7,16,12.7,7,9.9,NA,0,"50",8,1
"165",2016-07-18,2016,7,18,18.2,9.1,13.7,NA,5.4,"46",8,0.616591928251121
"166",2016-07-19,2016,7,19,17.4,9.1,13.3,NA,0.6,"<31",8,0.635228848821082
"167",2016-07-20,2016,7,20,17.3,7.9,12.6,NA,0,"<31",8,0.821081830790569
"168",2016-07-28,2016,7,28,17.6,8.9,13.3,NA,0.2,"<31",8,0.0407766990291262
"169",2016-07-29,2016,7,29,18.1,9.8,14,NA,0,"33",8,0.0624133148404993
"170",2016-07-30,2016,7,30,17.6,8,12.8,NA,0,"32",8,0.0901525658807212
"171",2016-07-31,2016,7,31,12.5,5.5,9,NA,0,"33",8,0.124826629680999
"172",2016-08-04,2016,8,4,NA,11.5,NA,NA,NA,NA,8,0.268867924528302
"173",2016-08-05,2016,8,5,14.5,8.1,11.3,NA,0,"57",8,0.0764951321279555
"174",2016-08-06,2016,8,6,11.7,5.8,8.8,NA,0.4,"54",8,0.124826629680999
"175",2016-08-07,2016,8,7,8.3,3.4,5.9,NA,0.4,"39",8,0.0627943485086342
"176",2016-06-13,2016,6,13,4.1,1,2.6,3,0,"41",12,0.98340874811463
"177",2016-06-14,2016,6,14,6.4,1.1,3.8,3,0,"48",12,1
"178",2016-06-15,2016,6,15,6.7,1.4,4.1,3,0,"43",12,1
"179",2016-06-16,2016,6,16,5.2,1.8,3.5,2,0,"41",12,1
"180",2016-06-17,2016,6,17,8.1,2.5,5.3,2,0,"85",12,0.99859943977591
"181",2016-06-18,2016,6,18,7.1,2.5,4.8,2,0,"87",12,1
"182",2016-06-19,2016,6,19,8.9,1.5,5.2,1,0.4,"67",12,0.997222222222222
"183",2016-06-20,2016,6,20,10.7,1.1,5.9,NA,0,"43",12,1
"184",2016-06-21,2016,6,21,11.1,4.4,7.8,NA,0,"<31",12,1
"185",2016-06-22,2016,6,22,12.5,6.9,9.7,NA,7,"<31",12,1
"186",2016-06-23,2016,6,23,15.5,6.6,11.1,NA,0,"37",12,1
"187",2016-06-24,2016,6,24,15.5,3.9,9.7,NA,0,"44",12,1
"188",2016-06-25,2016,6,25,12.5,3.8,8.2,NA,0,"39",12,1
"189",2016-07-06,2016,7,6,10.9,5,8,NA,0,"33",12,0.993065187239945
"190",2016-07-07,2016,7,7,18,4.8,11.4,NA,0,"<31",12,0.997226074895978
"191",2016-07-08,2016,7,8,24.1,9.5,16.8,NA,0,"<31",12,0.998603351955307
"192",2016-07-09,2016,7,9,24.3,12.5,18.4,NA,0,"<31",12,1
"193",2016-07-10,2016,7,10,20.7,12.4,16.6,NA,0,"33",12,1
"194",2016-07-11,2016,7,11,19.7,9.8,14.8,NA,0,"33",12,1
"195",2016-06-23,2016,6,23,15.5,6.6,11.1,NA,0,"37",19,1
"196",2016-06-24,2016,6,24,15.5,3.9,9.7,NA,0,"44",19,1
"197",2016-06-25,2016,6,25,12.5,3.8,8.2,NA,0,"39",19,1
"198",2016-06-26,2016,6,26,21.5,4.3,12.9,NA,0,"48",19,1
"199",2016-06-27,2016,6,27,14.2,4.3,9.3,NA,8.2,"33",19,1
"200",2016-06-28,2016,6,28,9.5,2.9,6.2,NA,0,"33",19,1
"201",2016-06-29,2016,6,29,23,3.1,13.1,NA,0,"35",19,1
"202",2016-06-30,2016,6,30,19.9,10,15,NA,1,"32",19,1
"203",2016-07-01,2016,7,1,21.9,9.2,15.6,NA,0,"33",19,1
"204",2016-07-02,2016,7,2,16.9,7.3,12.1,NA,0,"39",19,1
"205",2016-07-03,2016,7,3,14.9,6.1,10.5,NA,0,"30",19,0.998601398601399
"206",2016-07-04,2016,7,4,11.8,6,8.9,NA,4.6,"37",19,1
"207",2016-07-05,2016,7,5,8.6,5,6.8,NA,0,"37",19,1
"208",2016-07-06,2016,7,6,10.9,5,8,NA,0,"33",19,1
"209",2016-07-07,2016,7,7,18,4.8,11.4,NA,0,"<31",19,1
"210",2016-07-08,2016,7,8,24.1,9.5,16.8,NA,0,"<31",19,1
"211",2016-07-09,2016,7,9,24.3,12.5,18.4,NA,0,"<31",19,0.998611111111111
"212",2016-07-10,2016,7,10,20.7,12.4,16.6,NA,0,"33",19,1
"213",2016-07-11,2016,7,11,19.7,9.8,14.8,NA,0,"33",19,1
"214",2016-07-12,2016,7,12,18.8,7.7,13.3,NA,0,"30",19,1
"215",2016-07-13,2016,7,13,16.5,8,12.3,NA,0,"37",19,1
"216",2016-07-14,2016,7,14,19.9,9.7,14.8,NA,0.2,"32",19,1
"217",2016-07-15,2016,7,15,18.6,7.4,13,NA,0.2,"74",19,1
"218",2016-07-16,2016,7,16,12.7,7,9.9,NA,0,"50",19,1
"219",2016-07-17,2016,7,17,16.1,7.8,12,NA,0.6,"59",19,1
"220",2016-07-18,2016,7,18,18.2,9.1,13.7,NA,5.4,"46",19,1
"221",2016-07-23,2016,7,23,13.9,7.7,10.8,NA,2.6,"43",19,0.972260748959778
"222",2016-07-24,2016,7,24,16.3,5.8,11.1,NA,0,"<31",19,0.984743411927878
"223",2016-07-25,2016,7,25,9.1,5.6,7.4,NA,0.4,"<31",19,0.908460471567268
"224",2016-07-26,2016,7,26,17.5,8.2,12.9,NA,0.6,"35",19,0.934812760055479
"225",2016-07-28,2016,7,28,17.6,8.9,13.3,NA,0.2,"<31",19,0.374479889042996
"226",2016-08-03,2016,8,3,13.8,10,11.9,NA,1.8,"41",19,0.808333333333333
"227",2016-08-04,2016,8,4,NA,11.5,NA,NA,NA,NA,19,0.930232558139535
"228",2016-08-05,2016,8,5,14.5,8.1,11.3,NA,0,"57",19,0.596638655462185
"229",2016-08-06,2016,8,6,11.7,5.8,8.8,NA,0.4,"54",19,0.0583804143126177
"230",2016-08-07,2016,8,7,8.3,3.4,5.9,NA,0.4,"39",19,0.29399585921325
"231",2016-08-08,2016,8,8,9.4,3.9,6.7,NA,0,"35",19,0.442622950819672
"232",2016-08-09,2016,8,9,15,7.8,11.4,NA,0,"63",19,0.0909090909090909
"233",2016-08-10,2016,8,10,18.4,9.2,13.8,NA,0,"56",19,0.304609218436874
"234",2016-08-11,2016,8,11,19.9,8.3,14.1,NA,0,"<31",19,0.0922787193973635
"235",2016-08-12,2016,8,12,17.3,9.4,13.4,NA,0,"32",19,0.187739463601533
"236",2016-06-15,2016,6,15,6.7,1.4,4.1,3,0,"43",23,0.998778998778999
"237",2016-06-16,2016,6,16,5.2,1.8,3.5,2,0,"41",23,0.997459779847587
"238",2016-06-17,2016,6,17,8.1,2.5,5.3,2,0,"85",23,1
"239",2016-06-18,2016,6,18,7.1,2.5,4.8,2,0,"87",23,1
"240",2016-06-19,2016,6,19,8.9,1.5,5.2,1,0.4,"67",23,1
"241",2016-06-20,2016,6,20,10.7,1.1,5.9,NA,0,"43",23,0.980142970611596
"242",2016-06-21,2016,6,21,11.1,4.4,7.8,NA,0,"<31",23,1
"243",2016-06-22,2016,6,22,12.5,6.9,9.7,NA,7,"<31",23,1
"244",2016-06-23,2016,6,23,15.5,6.6,11.1,NA,0,"37",23,0.980935875216638
"245",2016-06-24,2016,6,24,15.5,3.9,9.7,NA,0,"44",23,0.997050147492625
"246",2016-06-25,2016,6,25,12.5,3.8,8.2,NA,0,"39",23,1
"247",2016-06-26,2016,6,26,21.5,4.3,12.9,NA,0,"48",23,1
"248",2016-06-27,2016,6,27,14.2,4.3,9.3,NA,8.2,"33",23,0.998992950654582
"249",2016-06-28,2016,6,28,9.5,2.9,6.2,NA,0,"33",23,0.999099099099099
"250",2016-06-29,2016,6,29,23,3.1,13.1,NA,0,"35",23,0.998819362455726
"251",2016-06-30,2016,6,30,19.9,10,15,NA,1,"32",23,0.848101265822785
"252",2016-07-01,2016,7,1,21.9,9.2,15.6,NA,0,"33",23,1
"253",2016-07-02,2016,7,2,16.9,7.3,12.1,NA,0,"39",23,0.871359223300971
"254",2016-07-03,2016,7,3,14.9,6.1,10.5,NA,0,"30",23,0.982171799027553
"255",2016-07-04,2016,7,4,11.8,6,8.9,NA,4.6,"37",23,0.532994923857868
"256",2016-07-05,2016,7,5,8.6,5,6.8,NA,0,"37",23,0.997596153846154
"257",2016-07-06,2016,7,6,10.9,5,8,NA,0,"33",23,0.898373983739837
"258",2016-07-07,2016,7,7,18,4.8,11.4,NA,0,"<31",23,0.980590062111801
"259",2016-07-08,2016,7,8,24.1,9.5,16.8,NA,0,"<31",23,0.998166819431714
"260",2016-07-09,2016,7,9,24.3,12.5,18.4,NA,0,"<31",23,0.947990543735225
"261",2016-07-10,2016,7,10,20.7,12.4,16.6,NA,0,"33",23,0.986026200873362
"262",2016-07-11,2016,7,11,19.7,9.8,14.8,NA,0,"33",23,0.998098859315589
"263",2016-07-12,2016,7,12,18.8,7.7,13.3,NA,0,"30",23,1
"264",2016-07-13,2016,7,13,16.5,8,12.3,NA,0,"37",23,1
"265",2016-07-18,2016,7,18,18.2,9.1,13.7,NA,5.4,"46",23,0.938811188811189
"266",2016-07-19,2016,7,19,17.4,9.1,13.3,NA,0.6,"<31",23,0.91869918699187
"267",2016-07-20,2016,7,20,17.3,7.9,12.6,NA,0,"<31",23,0.8875
"268",2016-07-21,2016,7,21,15.2,6,10.6,NA,0,"41",23,0.940277777777778
"269",2016-07-22,2016,7,22,14.7,7.5,11.1,NA,8.6,"56",23,0.653726708074534
"270",2016-07-23,2016,7,23,13.9,7.7,10.8,NA,2.6,"43",23,0.513618677042802
"271",2016-07-24,2016,7,24,16.3,5.8,11.1,NA,0,"<31",23,0.805288461538462
"272",2016-07-25,2016,7,25,9.1,5.6,7.4,NA,0.4,"<31",23,1
"273",2016-07-26,2016,7,26,17.5,8.2,12.9,NA,0.6,"35",23,0.144514767932489
"274",2016-07-27,2016,7,27,13,6.9,10,NA,0.4,"<31",23,0.35464620630861
"275",2016-07-28,2016,7,28,17.6,8.9,13.3,NA,0.2,"<31",23,0.212627669452182
"276",2016-07-29,2016,7,29,18.1,9.8,14,NA,0,"33",23,0.064773735581189
"277",2016-08-03,2016,8,3,13.8,10,11.9,NA,1.8,"41",23,0.483783783783784
"278",2016-08-04,2016,8,4,NA,11.5,NA,NA,NA,NA,23,0.316770186335404
"279",2016-08-05,2016,8,5,14.5,8.1,11.3,NA,0,"57",23,0.062043795620438
"280",2016-08-06,2016,8,6,11.7,5.8,8.8,NA,0.4,"54",23,0.0852272727272727
"281",2016-08-07,2016,8,7,8.3,3.4,5.9,NA,0.4,"39",23,0.070694087403599
"282",2016-08-08,2016,8,8,9.4,3.9,6.7,NA,0,"35",23,0.133526850507983
"283",2016-08-09,2016,8,9,15,7.8,11.4,NA,0,"63",23,0.039564787339268
"284",2016-08-10,2016,8,10,18.4,9.2,13.8,NA,0,"56",23,0.113821138211382
"285",2016-08-11,2016,8,11,19.9,8.3,14.1,NA,0,"<31",23,0.00463678516228748
"286",2016-08-12,2016,8,12,17.3,9.4,13.4,NA,0,"32",23,0.00279329608938547
"287",2016-06-23,2016,6,23,15.5,6.6,11.1,NA,0,"37",28,0.995454545454545
"288",2016-06-24,2016,6,24,15.5,3.9,9.7,NA,0,"44",28,0.998613037447989
"289",2016-06-25,2016,6,25,12.5,3.8,8.2,NA,0,"39",28,1
"290",2016-06-26,2016,6,26,21.5,4.3,12.9,NA,0,"48",28,1
"291",2016-06-27,2016,6,27,14.2,4.3,9.3,NA,8.2,"33",28,1
"292",2016-07-07,2016,7,7,18,4.8,11.4,NA,0,"<31",28,0.98744769874477
"293",2016-07-08,2016,7,8,24.1,9.5,16.8,NA,0,"<31",28,1
"294",2016-07-09,2016,7,9,24.3,12.5,18.4,NA,0,"<31",28,0.981927710843373
"295",2016-07-10,2016,7,10,20.7,12.4,16.6,NA,0,"33",28,1
"296",2016-06-11,2016,6,11,11.2,3.5,7.4,3,0,"39",30,0.965217391304348
"297",2016-06-12,2016,6,12,9.4,2.3,5.9,3,0,"33",30,1
"298",2016-06-13,2016,6,13,4.1,1,2.6,3,0,"41",30,0.998613037447989
"299",2016-06-14,2016,6,14,6.4,1.1,3.8,3,0,"48",30,0.994436717663421
"300",2016-06-15,2016,6,15,6.7,1.4,4.1,3,0,"43",30,0.993045897079277
"301",2016-06-16,2016,6,16,5.2,1.8,3.5,2,0,"41",30,1
"302",2016-06-17,2016,6,17,8.1,2.5,5.3,2,0,"85",30,1
"303",2016-06-23,2016,6,23,15.5,6.6,11.1,NA,0,"37",30,0.998407643312102
"304",2016-06-24,2016,6,24,15.5,3.9,9.7,NA,0,"44",30,1
"305",2016-06-25,2016,6,25,12.5,3.8,8.2,NA,0,"39",30,1
"306",2016-06-26,2016,6,26,21.5,4.3,12.9,NA,0,"48",30,0.997222222222222
"307",2016-06-27,2016,6,27,14.2,4.3,9.3,NA,8.2,"33",30,1
"308",2016-06-28,2016,6,28,9.5,2.9,6.2,NA,0,"33",30,1
"309",2016-06-29,2016,6,29,23,3.1,13.1,NA,0,"35",30,1
"310",2016-06-30,2016,6,30,19.9,10,15,NA,1,"32",30,0.99859943977591
"311",2016-07-01,2016,7,1,21.9,9.2,15.6,NA,0,"33",30,1
